区画,区画の置き場,報告の件数,CSVの件数,差,報告ファイル
002,crates/blitz_app/src/app,4,1,-3,命名_区画002_2026-09-12.md
009,crates/blitz_app/src/cli 第2区画,17,16,-1,命名_区画009_2026-09-12.md
014,crates/blitz_app/src/reports/cloth_xpbd_reference ほか,4,3,-1,命名_区画014_2026-09-12.md
016,crates/blitz_assembly/src,1,0,-1,命名_区画016_2026-09-12.md
020,crates/blitz_asset_compiler/examples/check_glb ほか,23,21,-2,命名_区画020_2026-09-12.md
028,crates/blitz_asset_compiler/src/loader/contract,3,0,-3,命名_区画028_2026-09-12.md
032,crates/blitz_asset_compiler/src/runtime_compilation/world,17,18,1,命名_区画032_2026-09-12.md
067,crates/blitz_engine/src/visibility_tests,1,0,-1,命名_区画067_2026-09-12.md
068,crates/blitz_game/src 第1区画,2,8,6,命名_区画068_2026-09-12.md
073,crates/blitz_math/src/frame 第2区画,3,1,-2,命名_区画073_2026-09-12.md
074,crates/blitz_math/src/units,1,0,-1,命名_区画074_2026-09-12.md
093,crates/blitz_render/src/renderer/scene_draw_resources/render_object_resources,10,11,1,命名_区画093_2026-09-12.md
097,crates/blitz_render/src/vulkan/auto_exposure,22,25,3,命名_区画097_2026-09-12.md
102,crates/blitz_render/src/vulkan/frame/record/graph_build/stages,4,5,1,命名_区画102_2026-09-12.md
103,crates/blitz_render/src/vulkan/graph,8,7,-1,命名_区画103_2026-09-12.md
108,crates/blitz_render/src/vulkan/particles/draw_pipeline,8,9,1,命名_区画108_2026-09-12.md
116,crates/blitz_sim/src/contact/body_body_contact,8,9,1,命名_区画116_2026-09-12.md
120,crates/blitz_sim/src/contact/pipeline 第1区画,3,8,5,命名_区画120_2026-09-12.md
122,crates/blitz_sim/src/contact/query_origin,6,0,-6,命名_区画122_2026-09-12.md
124,crates/blitz_sim/src/contact/scene/cone_breach_record,3,2,-1,命名_区画124_2026-09-12.md
125,crates/blitz_sim/src/contact/scene/numeric_contract_record/tolerance_dependence/row_admission,5,4,-1,命名_区画125_2026-09-12.md
129,crates/blitz_sim/src/sph,10,11,1,命名_区画129_2026-09-12.md
131,crates/editor_server/src,8,7,-1,命名_区画131_2026-09-12.md
135,crates/editor_server/src/routes,8,9,1,命名_区画135_2026-09-12.md
138,crates/editor_server/tests/integration/common,2,1,-1,命名_区画138_2026-09-12.md
146,xtask/src/command_ui/menu,8,9,1,命名_区画146_2026-09-12.md
151,xtask/src/csm_seam,4,3,-1,命名_区画151_2026-09-12.md
155,xtask/src/gen_game_map,9,8,-1,命名_区画155_2026-09-12.md
156,xtask/src/indirect_cost,1,0,-1,命名_区画156_2026-09-12.md
160,xtask/src/part_row_draw/tree_row,3,0,-3,命名_区画160_2026-09-12.md
162,xtask/src/shadow_loss/error,1,0,-1,命名_区画162_2026-09-12.md
163,xtask/src/sky_lut/indirect_pass_count,16,15,-1,命名_区画163_2026-09-12.md
164,xtask/src/smoke,3,2,-1,命名_区画164_2026-09-12.md
