区画	名前	全数	直読	違反	疑い	報告
001	crates/blitz_app(build_support)	25	25	18	8	命名_区画001_2026-09-12.md
002	crates/blitz_app/src/app	36	36	4	1	命名_区画002_2026-09-12.md
003	crates/blitz_app/src/app/cloth_setup	34	34	0	2	命名_区画003_2026-09-12.md
004	crates/blitz_app/src/app/frame_dump	39	39	15	3	命名_区画004_2026-09-12.md
005	crates/blitz_app/src/app/scene_load	37	37	11	3	命名_区画005_2026-09-12.md
006	crates/blitz_app/src/app/time_of_day	37	37	8	2	命名_区画006_2026-09-12.md
007	crates/blitz_app/src/app/time_step	35	34	2	4	命名_区画007_2026-09-12.md(一覧は34件と報告)
008	crates/blitz_app/src/cli 第1区画	40	40	14	3	命名_区画008_2026-09-12.md
009	crates/blitz_app/src/cli 第2区画	15	15	17	3	命名_区画009_2026-09-12.md
010	crates/blitz_app/src/cli/local_light_count_args ほか	24	24	3	5	命名_区画010_2026-09-12.md
011	crates/blitz_app/src/game	39	39	4	0	命名_区画011_2026-09-12.md
012	crates/blitz_app/src/hot_reload	39	39	9	1	命名_区画012_2026-09-12.md
013	crates/blitz_app/src/reports	38	38	8	4	命名_区画013_2026-09-12.md
014	crates/blitz_app/src/reports/cloth_xpbd_reference ほか	37	37	4	1	命名_区画014_2026-09-12.md
015	crates/blitz_app/src/reports/sky_pixel ほか	40	40	2	3	命名_区画015_2026-09-12.md
016	crates/blitz_assembly/src	34	34	1	2	命名_区画016_2026-09-12.md
017	crates/blitz_assembly/src/expansion	40	40	0	2	命名_区画017_2026-09-12.md
018	crates/blitz_assembly/src/expansion/frame_tests	34	34	2	0	命名_区画018_2026-09-12.md
019	crates/blitz_assembly/src/mating	31	31	1	2	命名_区画019_2026-09-12.md
020	crates/blitz_asset_compiler/examples/check_glb ほか	40	40	23	4	命名_区画020_2026-09-12.md
021	crates/blitz_asset_compiler/examples/generate_source_assets/fox_tour_world/source_writing	26	26	7	0	命名_区画021_2026-09-12.md
022	crates/blitz_asset_compiler/examples/part_assembly	22	22	10	1	命名_区画022_2026-09-12.md
023	crates/blitz_asset_compiler/src	38	38	0	0	命名_区画023_2026-09-12.md
024	crates/blitz_asset_compiler/src/assembly_reference	40	40	1	0	命名_区画024_2026-09-12.md
025	crates/blitz_asset_compiler/src/compile	30	30	5	3	命名_区画025_2026-09-12.md
026	crates/blitz_asset_compiler/src/editor_chunk/source	38	38	0	2	命名_区画026_2026-09-12.md
027	crates/blitz_asset_compiler/src/height_field ほか	37	37	0	3	命名_区画027_2026-09-12.md
028	crates/blitz_asset_compiler/src/loader/contract	40	40	3	2	命名_区画028_2026-09-12.md
029	crates/blitz_asset_compiler/src/loader/joint	31	31	0	2	命名_区画029_2026-09-12.md
030	crates/blitz_asset_compiler/src/placement	40	40	0	3	命名_区画030_2026-09-12.md
031	crates/blitz_asset_compiler/src/runtime_compilation/building_outline_catalog	27	27	0	2	命名_区画031_2026-09-12.md
032	crates/blitz_asset_compiler/src/runtime_compilation/world	37	37	17	2	命名_区画032_2026-09-12.md
033	crates/blitz_asset_compiler/src/source_asset_paths	39	39	1	1	命名_区画033_2026-09-12.md
034	crates/blitz_asset_compiler/src/texture_storage	40	40	4	2	命名_区画034_2026-09-12.md
035	crates/blitz_asset_compiler/src/visual_sample	22	22	1	2	命名_区画035_2026-09-12.md
036	crates/blitz_collision/src	27	27	0	0	命名_区画036_2026-09-12.md
037	crates/blitz_collision/src/contact_set 第1区画	40	40	2	2	命名_区画037_2026-09-12.md
038	crates/blitz_collision/src/contact_set 第2区画	12	12	0	1	命名_区画038_2026-09-12.md
039	crates/blitz_collision/src/continuous	38	38	0	0	命名_区画039_2026-09-12.md
040	crates/blitz_collision/src/height_field 第1区画	40	40	0	2	命名_区画040_2026-09-12.md
041	crates/blitz_collision/src/height_field 第2区画	2	2	0	2	命名_区画041_2026-09-12.md
042	crates/blitz_collision/src/height_field/capsule_sweep	33	33	2	0	命名_区画042_2026-09-12.md
043	crates/blitz_collision/src/oriented_box	32	32	2	0	命名_区画043_2026-09-12.md
044	crates/blitz_collision/src/shape 第1区画	40	40	1	1	命名_区画044_2026-09-12.md
045	crates/blitz_collision/src/shape 第2区画	3	3	0	2	命名_区画045_2026-09-12.md
046	crates/blitz_collision/src/solver	10	10	0	2	命名_区画046_2026-09-12.md
047	crates/blitz_collision/src/triangle	33	33	0	2	命名_区画047_2026-09-12.md
048	crates/blitz_collision/src/triangle_mesh	27	27	0	2	命名_区画048_2026-09-12.md
049	crates/blitz_engine/src/animation	14	14	4	2	命名_区画049_2026-09-12.md
050	crates/blitz_engine/src/asset 第1区画	40	40	1	2	命名_区画050_2026-09-12.md
051	crates/blitz_engine/src/asset 第2区画	8	8	3	3	命名_区画051_2026-09-12.md
052	crates/blitz_engine/src/asset/instance	40	40	0	0	命名_区画052_2026-09-12.md
053	crates/blitz_engine/src/asset/runtime_format/chunk_directory_v2	25	25	8	1	命名_区画053_2026-09-12.md
054	crates/blitz_engine/src/asset/runtime_format/scene/read_element	32	32	16	2	命名_区画054_2026-09-12.md
055	crates/blitz_engine/src/asset/runtime_format/scene/write_element	40	40	2	1	命名_区画055_2026-09-12.md
056	crates/blitz_engine/src/auto_exposure	39	39	0	0	命名_区画056_2026-09-12.md
057	crates/blitz_engine/src	39	39	0	2	命名_区画057_2026-09-12.md
058	crates/blitz_engine/src/chunk	40	40	2	1	命名_区画058_2026-09-12.md
059	crates/blitz_engine/src/lod_threshold	12	12	4	2	命名_区画059_2026-09-12.md
060	crates/blitz_engine/src/sky	38	38	13	2	命名_区画060_2026-09-12.md
061	crates/blitz_engine/src/sky/atmosphere	29	29	0	2	命名_区画061_2026-09-12.md
