区画,クレート,ファイル,行,識別子,記号の種類,落ちた条件,なぜ読めないか,改名の素案,報告ファイル
001,blitz_app,crates/blitz_app/build_support/mod.rs,62,sphソース絶対パス,英単語または略号,同上,同上。小文字化しても英字のまま日本語識別子へ混入している,粒子法流体ソース絶対パス,命名_区画001_2026-09-12.md
001,blitz_app,crates/blitz_app/build_support/slangc_locate.rs,8,スランガー位置(型),なし,受理条件1(受理テスト)/呼称と語の選択条3(カタカナ語基準:小学生が分かるか),「スランガー」はslangc(Slangコンパイラの実行ファイル)を指す実在しない造語である。slangcの正しい音写でもなく、「スラング」+「-er」から作った語の意味も推測できない。ユビキタス言語にも未登録で、読み手が単独で復元できない,スラングコンパイラの所在 または英語名を保持して slangc実行ファイルの所在,命名_区画001_2026-09-12.md
001,blitz_app,crates/blitz_app/build_support/slangc_locate.rs,"9,10,14,16,17,22",絶対パス枝・パス経由枝・プログラム名()・発見する()(いずれもスランガー位置型に属する),なし,上記の波及(型名自体が壊れているため、型が絡む識別子すべてが巻き込まれる),型名を直せば大半は連動して読めるようになるため、型名の是正を先に行うべき箇所として記録する,型改名後に再検査,命名_区画001_2026-09-12.md
001,blitz_app,crates/blitz_app/build_support/slangc_locate.rs,22,発見する,なし,受理条件2・3・5,ASCIIモジュールslangc_locate直下の自由関数であり名前単独で答える必要があるが、「何を発見するか」が無い,slangc実行ファイルを探す,命名_区画001_2026-09-12.md
001,blitz_app,crates/blitz_app/build_support/rerun_registration.rs,12,登録する,なし,受理条件2・3・5,同上。「何を・どこへ登録するか」が無い裸の動詞。実体はシェーダーの変更をCargoの再ビルド判定へ伝える処理,シェーダーの変更監視をCargoへ登録する,命名_区画001_2026-09-12.md
001,blitz_app,crates/blitz_app/build_support/cluster_light_assignment_spirv_compile.rs,15,コンパイルする,なし,受理条件2・3・5,完全な裸の動詞で目的語が皆無。呼び出し元のcluster_light_assignment_spirv_compile::コンパイルする(...)もモジュール名(ASCII)は読まれない前提のため、名前だけでは何をコンパイルするか不明,クラスタ選別のエントリをコンパイルする,命名_区画001_2026-09-12.md
001,blitz_app,crates/blitz_app/build_support/atmosphere_spirv_compile.rs,40,全部をコンパイルする,なし,受理条件2・3,「全部」は代名詞で対象領域(大気のベイク済み画像群)を名指ししていない。ASCIIモジュールは読まれない前提のため復元できない,大気のベイク済み画像の全エントリをコンパイルする,命名_区画001_2026-09-12.md
001,blitz_app,crates/blitz_app/build_support/auto_exposure_spirv_compile.rs,21,全部をコンパイルする,なし,同上,同上,自動露出の全エントリをコンパイルする,命名_区画001_2026-09-12.md
001,blitz_app,crates/blitz_app/build_support/local_visibility_spirv_compile.rs,21,全部をコンパイルする,なし,同上,同上,局所可視性補正の全エントリをコンパイルする,命名_区画001_2026-09-12.md
001,blitz_app,crates/blitz_app/build_support/derived_environment_spirv_compile.rs,29,全部をコンパイルする,なし,同上,同上,派生表現の全エントリをコンパイルする,命名_区画001_2026-09-12.md
001,blitz_app,crates/blitz_app/build_support/sky_spirv_compile.rs,28,全部をコンパイルする,なし,同上,同上,空段階の全エントリをコンパイルする,命名_区画001_2026-09-12.md
001,blitz_app,crates/blitz_app/build_support/cloth_spirv_compile.rs,12,全部をコンパイルする,なし,同上,同上,布シェーダーの全エントリをコンパイルする,命名_区画001_2026-09-12.md
001,blitz_app,crates/blitz_app/build_support/xpbd_spirv_compile.rs,45,全部をコンパイルする,なし,同上,同上,XPBD計測用の全エントリをコンパイルする,命名_区画001_2026-09-12.md
001,blitz_app,crates/blitz_app/build_support/spirv_compile.rs,37,画素段のエントリ(fn),英単語または略号,受理条件4(品詞の規律),名詞句だが実体はエントリ指定を組み立てる処理。裸の自由関数のため型名による目的語の補完が効かない,エントリ指定::画素段として生成する(型の関連関数化)、または 画素段のエントリを組み立てる,命名_区画001_2026-09-12.md
001,blitz_app,crates/blitz_app/build_support/xpbd_spirv_compile.rs,37,コンピュート(fn),英単語または略号,同上,同上,エントリ指定::コンピュートとして生成する,命名_区画001_2026-09-12.md
001,blitz_app,crates/blitz_app/build_support/cloth_spirv_compile/compile_table.rs,60,コンピュート(fn),英単語または略号,同上,同上,同上,命名_区画001_2026-09-12.md
001,blitz_app,crates/blitz_app/build_support/cloth_spirv_compile/compile_table.rs,68,頂点(fn),英単語または略号,同上,同上,エントリ指定::頂点として生成する,命名_区画001_2026-09-12.md
001,blitz_app,crates/blitz_app/build_support/cloth_spirv_compile/compile_table.rs,76,画素段(fn),英単語または略号,同上,同上,エントリ指定::画素段として生成する,命名_区画001_2026-09-12.md
002,blitz_app,crates/blitz_app/src/app/animation_state.rs,"18-19,25,31,35,37,39-41,46-53",クリップa / クリップb,英字1文字,識別子への英字混入の禁止(指示書「オーナーが不合格にした実例」の英字・記号混入の類型),"pub(super) struct アニメーション再生 { スキン: スキンデータ, クリップa: アニメーションクリップ, クリップb: Option<アニメーションクリップ>, } のように、日本語の名詞「クリップ」へ単独のASCII文字a/bを付けて2つを区別している。同じファイルに既に主クリップ名・副クリップ名という完全な日本語の対語が定数として存在しており(13-14行目)、フィールド名だけがそれを使わずアルファベット添字に頼っている。「クリップa」は「これは何?」に対して「主クリップなのか副クリップなのか」を単独で答えられない(呼び出し側でのクリップbの分岐処理を読んで初めてbが「あってもなくてもよい方」だと分かる)",主クリップ / 副クリップ,命名_区画002_2026-09-12.md
004,blitz_app,crates/blitz_app/src/app/frame_dump/frame_dump/presentation_dump.rs,50-53,rawパス(変数),英単語または略号,条件2・条7(直訳検出)・呼称と語の選択条1,英語「raw」をローマ字のまま使い、日本語訳(生・未加工・提示用)を与えていない。同じディレクトリのdepth_dump.rsは同じ役割の変数を深度パスと日本語訳しており、この工程だけ英語のまま残っている,提示画像のパス,命名_区画004_2026-09-12.md
