blitz_chunk_directory 2 100
-2 -2 chunk_x-2_z-2 chunk_x-2_z-2.gltf
-1 -2 chunk_x-1_z-2 chunk_x-1_z-2.gltf
0 -2 chunk_x0_z-2 chunk_x0_z-2.gltf
1 -2 chunk_x1_z-2 chunk_x1_z-2.gltf
2 -2 chunk_x2_z-2 chunk_x2_z-2.gltf
-2 -1 chunk_x-2_z-1 chunk_x-2_z-1.gltf
-1 -1 chunk_x-1_z-1 chunk_x-1_z-1.gltf
0 -1 chunk_x0_z-1 chunk_x0_z-1.gltf
1 -1 chunk_x1_z-1 chunk_x1_z-1.gltf
2 -1 chunk_x2_z-1 chunk_x2_z-1.gltf
-2 0 chunk_x-2_z0 chunk_x-2_z0.gltf
-1 0 chunk_x-1_z0 chunk_x-1_z0.gltf
0 0 chunk_x0_z0 chunk_x0_z0.gltf
1 0 chunk_x1_z0 chunk_x1_z0.gltf
2 0 chunk_x2_z0 chunk_x2_z0.gltf
-2 1 chunk_x-2_z1 chunk_x-2_z1.gltf
-1 1 chunk_x-1_z1 chunk_x-1_z1.gltf
0 1 chunk_x0_z1 chunk_x0_z1.gltf
1 1 chunk_x1_z1 chunk_x1_z1.gltf
2 1 chunk_x2_z1 chunk_x2_z1.gltf
-2 2 chunk_x-2_z2 chunk_x-2_z2.gltf
-1 2 chunk_x-1_z2 chunk_x-1_z2.gltf
0 2 chunk_x0_z2 chunk_x0_z2.gltf
1 2 chunk_x1_z2 chunk_x1_z2.gltf
2 2 chunk_x2_z2 chunk_x2_z2.gltf
