blitz_chunk_directory 2 256
0 0 editor_terrain_x0_z0 editor_chunk_x0_z0.json
1 0 editor_terrain_x1_z0 editor_chunk_x1_z0.json
2 0 editor_terrain_x2_z0 editor_chunk_x2_z0.json
3 0 editor_terrain_x3_z0 editor_chunk_x3_z0.json
0 1 editor_terrain_x0_z1 editor_chunk_x0_z1.json
1 1 editor_terrain_x1_z1 editor_chunk_x1_z1.json
2 1 editor_terrain_x2_z1 editor_chunk_x2_z1.json
3 1 editor_terrain_x3_z1 editor_chunk_x3_z1.json
0 2 editor_terrain_x0_z2 editor_chunk_x0_z2.json
1 2 editor_terrain_x1_z2 editor_chunk_x1_z2.json
2 2 editor_terrain_x2_z2 editor_chunk_x2_z2.json
3 2 editor_terrain_x3_z2 editor_chunk_x3_z2.json
0 3 editor_terrain_x0_z3 editor_chunk_x0_z3.json
1 3 editor_terrain_x1_z3 editor_chunk_x1_z3.json
2 3 editor_terrain_x2_z3 editor_chunk_x2_z3.json
3 3 editor_terrain_x3_z3 editor_chunk_x3_z3.json
