blitz_chunk_directory 2 100
-2 -2 terrain_x-2_z-2 terrain_x-2_z-2.heightgrid
-1 -2 terrain_x-1_z-2 terrain_x-1_z-2.heightgrid
0 -2 terrain_x0_z-2 terrain_x0_z-2.heightgrid
1 -2 terrain_x1_z-2 terrain_x1_z-2.heightgrid
2 -2 terrain_x2_z-2 terrain_x2_z-2.heightgrid
-2 -1 terrain_x-2_z-1 terrain_x-2_z-1.heightgrid
-1 -1 terrain_x-1_z-1 terrain_x-1_z-1.heightgrid
0 -1 terrain_x0_z-1 terrain_x0_z-1.heightgrid
1 -1 terrain_x1_z-1 terrain_x1_z-1.heightgrid
2 -1 terrain_x2_z-1 terrain_x2_z-1.heightgrid
-2 0 terrain_x-2_z0 terrain_x-2_z0.heightgrid
-1 0 terrain_x-1_z0 terrain_x-1_z0.heightgrid
0 0 terrain_x0_z0 terrain_x0_z0.heightgrid
1 0 terrain_x1_z0 terrain_x1_z0.heightgrid
2 0 terrain_x2_z0 terrain_x2_z0.heightgrid
-2 1 terrain_x-2_z1 terrain_x-2_z1.heightgrid
-1 1 terrain_x-1_z1 terrain_x-1_z1.heightgrid
0 1 terrain_x0_z1 terrain_x0_z1.heightgrid
1 1 terrain_x1_z1 terrain_x1_z1.heightgrid
2 1 terrain_x2_z1 terrain_x2_z1.heightgrid
-2 2 terrain_x-2_z2 terrain_x-2_z2.heightgrid
-1 2 terrain_x-1_z2 terrain_x-1_z2.heightgrid
0 2 terrain_x0_z2 terrain_x0_z2.heightgrid
1 2 terrain_x1_z2 terrain_x1_z2.heightgrid
2 2 terrain_x2_z2 terrain_x2_z2.heightgrid
